EmployeeID,EmployeeName,Role,Department,HireDate
1,Mark Day,Cashier,Sales,2015-11-03T00:00:00.000000000
2,Jonathan Jones,Sales Representative,Customer Service,2007-09-16T00:00:00.000000000
3,Ryan Howard,Sales Representative,Customer Service,2005-01-02T00:00:00.000000000
4,Jessica Nguyen,Sales Representative,Sales,2017-04-11T00:00:00.000000000
5,Thomas Nelson,Manager,Sales,2005-08-14T00:00:00.000000000
6,Deborah Walker,Cashier,Customer Service,2009-11-21T00:00:00.000000000
7,Mr. Kyle Bailey MD,Sales Representative,Sales,2000-09-03T00:00:00.000000000
8,Denise Reynolds,Cashier,Sales,2004-12-25T00:00:00.000000000
9,Meagan Knight,Cashier,Sales,2008-03-02T00:00:00.000000000
10,Brian Lynch,Cashier,Sales,2007-08-25T00:00:00.000000000
11,Laura Barnes,Manager,Sales,2022-01-05T00:00:00.000000000
12,Jordan Dennis,Sales Representative,Sales,2010-09-12T00:00:00.000000000
13,Dr. Michele Taylor MD,Sales Representative,Customer Service,2006-02-28T00:00:00.000000000
14,Jennifer Farrell,Cashier,Sales,2019-07-09T00:00:00.000000000
15,Micheal Carpenter,Cashier,Customer Service,2023-05-02T00:00:00.000000000
16,Tracy Bailey,Cashier,Customer Service,2008-05-08T00:00:00.000000000
17,Steven Williams,Sales Representative,Sales,2022-07-30T00:00:00.000000000
18,Robert Lewis,Sales Representative,Sales,2000-03-31T00:00:00.000000000
19,Zachary Pugh,Cashier,Customer Service,2018-07-09T00:00:00.000000000
20,Edgar Rogers,Sales Representative,Sales,2010-03-16T00:00:00.000000000
21,Jeremiah Alvarez,Cashier,Customer Service,2006-02-01T00:00:00.000000000
22,Alexander Walker,Sales Representative,Customer Service,2001-05-02T00:00:00.000000000
23,Edgar Rios,Cashier,Sales,2022-08-04T00:00:00.000000000
24,Reginald Smith,Manager,Sales,2000-09-10T00:00:00.000000000
25,Donna Howard,Sales Representative,Sales,2016-10-24T00:00:00.000000000
26,Jeffery Wright,Sales Representative,Customer Service,2013-07-10T00:00:00.000000000
27,Jeffrey Lewis,Sales Representative,Customer Service,2003-11-24T00:00:00.000000000
28,Alexander Fisher,Sales Representative,Customer Service,2011-09-26T00:00:00.000000000
29,Sabrina Frost,Manager,Sales,2011-03-05T00:00:00.000000000
30,Tanya Bond,Manager,Customer Service,2008-03-25T00:00:00.000000000
31,Julie Garcia,Cashier,Sales,2017-07-12T00:00:00.000000000
32,Tara Peters,Manager,Sales,2003-01-09T00:00:00.000000000
33,Kayla Douglas,Cashier,Sales,2009-02-13T00:00:00.000000000
34,Melanie Aguilar,Cashier,Sales,2012-05-01T00:00:00.000000000
35,Darin Bryan,Manager,Customer Service,2022-04-08T00:00:00.000000000
36,Mary Martin,Sales Representative,Sales,2000-08-28T00:00:00.000000000
37,Jesse Gonzales,Sales Representative,Customer Service,2007-08-18T00:00:00.000000000
38,Alicia Martin,Sales Representative,Customer Service,2006-02-21T00:00:00.000000000
39,Holly Armstrong,Cashier,Sales,2012-11-13T00:00:00.000000000
40,Tracy Warren,Cashier,Customer Service,2011-09-22T00:00:00.000000000
41,Courtney Gray,Sales Representative,Customer Service,2005-08-26T00:00:00.000000000
42,Barbara Carey,Manager,Sales,2008-11-07T00:00:00.000000000
43,Mitchell Douglas,Cashier,Customer Service,2004-09-08T00:00:00.000000000
44,Jenna Steele,Sales Representative,Sales,2007-03-01T00:00:00.000000000
45,Krystal Cooper,Cashier,Customer Service,2005-02-10T00:00:00.000000000
46,Amy Weber,Sales Representative,Sales,2002-08-13T00:00:00.000000000
47,Kathryn Cordova,Manager,Customer Service,2011-12-26T00:00:00.000000000
48,Maria Lloyd,Sales Representative,Customer Service,2012-01-22T00:00:00.000000000
49,Sandra Bullock,Cashier,Customer Service,2002-04-04T00:00:00.000000000
50,Laura Young,Sales Representative,Sales,2003-09-04T00:00:00.000000000
51,Todd Taylor,Cashier,Sales,2019-09-28T00:00:00.000000000
52,Briana Young,Sales Representative,Sales,2016-12-29T00:00:00.000000000
53,John Chapman,Manager,Sales,2016-10-09T00:00:00.000000000
54,Peter Johnson,Sales Representative,Customer Service,2003-05-12T00:00:00.000000000
55,Kelly Rich,Sales Representative,Sales,2004-11-21T00:00:00.000000000
56,Suzanne Yates,Cashier,Customer Service,2005-09-07T00:00:00.000000000
57,Elizabeth Flores,Cashier,Customer Service,2021-03-09T00:00:00.000000000
58,April Osborne,Sales Representative,Sales,2009-03-18T00:00:00.000000000
59,Laura Martinez,Sales Representative,Customer Service,2002-08-08T00:00:00.000000000
60,Jaclyn Jenkins,Sales Representative,Customer Service,2015-07-11T00:00:00.000000000
61,Rachel Jordan,Cashier,Customer Service,2020-03-13T00:00:00.000000000
62,Shannon Herman,Manager,Customer Service,2016-10-12T00:00:00.000000000
